Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,gender,URL Link,Crossing
A448342,OWNER SUR,12/26/2024,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A513657,OWNER SUR,01/02/2025,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
A526729,OWNER SUR,12/20/2024,JAXON,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526729&location=MONT,
A525264,OWNER SUR,11/01/2024,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,
A502079,RETURN,01/16/2025,DA VINCI,DOG,3 YEARS,SMALL,BLACK / BROWN,PUG / BEAGLE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502079&location=MONT,
A519442,OWNER SUR,12/26/2024,*TOOTSIE ROLL,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519442&location=MONT,
A498323,OWNER SUR,01/28/2025,CAESAR,DOG,4 YEARS,MED,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A498323&location=MONT,
A526572,OWNER SUR,12/13/2024,GINGER,OTHER,2 YEARS,MED,TAN,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526572&location=MONT,
A476852,RETURN,12/04/2024,TAZ,DOG,6 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476852&location=MONT,
A513364,OWNER SUR,02/19/2025,VIRGINIA,DOG,4 YEARS,MED,BLACK / WHITE,POINTER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513364&location=MONT,
A527769,OWNER SUR,01/27/2025,JENNY,OTHER,7 YEARS,MED,BLACK,REX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527769&location=MONT,
A528447,OWNER SUR,02/22/2025,WILLIE,OTHER,4 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528447&location=MONT,
A528291,OWNER SUR,02/16/2025,SASHA,DOG,5 YEARS,SMALL,TAN,FRENCH BULLDOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528291&location=MONT,
A528182,OWNER SUR,02/11/2025,GANDALF,OTHER,5 YEARS,MED,WHITE,LIONHEAD,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528182&location=MONT,
A528286,OWNER SUR,02/16/2025,CANELO,DOG,2 YEARS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528286&location=MONT,
A527923,OWNER SUR,02/01/2025,MAX,DOG,4 YEARS,MED,GRAY / WHITE,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527923&location=MONT,
A527757,BOARDING,01/27/2025,*FINN,DOG,2 YEARS,LARGE,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527757&location=MONT,
A526843,OWNER SUR,12/24/2024,*BUMBLEBEE,DOG,11 MONTHS,MED,BLACK,ROTTWEILER / AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526843&location=MONT,
A526170,OWNER SUR,12/02/2024,*MACHO,DOG,1 YEAR 3 MONTHS,LARGE,TAN / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526170&location=MONT,
A502797,OWNER SUR,02/25/2025,PIEDMONT,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502797&location=MONT,
A520093,RETURN,02/24/2025,*IGGY,DOG,1 YEAR 7 MONTHS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520093&location=MONT,
A528500,OWNER SUR,02/23/2025,*SHAKESPEARE,BIRD,1 YEAR 4 MONTHS,MED,BROWN / BLACK,FINCH,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528500&location=MONT,
A514903,OWNER SUR,01/21/2025,STANLEY,DOG,1 YEAR 7 MONTHS,MED,WHITE / BROWN,AMERICAN STAFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A514903&location=MONT,
A523689,FOSTER,02/18/2025,CASH,DOG,9 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523689&location=MONT,
A528258,OWNER SUR,02/14/2025,*INCHWORM,DOG,9 MONTHS,LARGE,WHITE / TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528258&location=MONT,
A515162,FOSTER,02/08/2025,RACKS,DOG,1 YEAR 11 MONTHS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515162&location=MONT,
A528098,BOARDING,02/08/2025,MERLIN,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528098&location=MONT,
A527313,TRANSFER,01/31/2025,*SNUGGLEWUMPS,DOG,8 MONTHS,PUPPY,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527313&location=MONT,
A515839,OWNER SUR,02/15/2025,DUTCHESS,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515839&location=MONT,
A363255,OWNER SUR,02/21/2025,LUANNE,DOG,12 YEARS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A363255&location=MONT,
A523905,OWNER SUR,03/03/2025,CHEECH,DOG,4 YEARS,LARGE,WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523905&location=MONT,
A516723,OWNER SUR,12/26/2024,ACE,DOG,1 YEAR 10 MONTHS,LARGE,WHITE,GREAT DANE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516723&location=MONT,
A521086,OWNER SUR,02/03/2025,*WINSTON,DOG,1 YEAR 2 MONTHS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521086&location=MONT,
A523441,RETURN,01/02/2025,CHANEL-DIAMOND,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523441&location=MONT,
A527642,OWNER SUR,01/23/2025,MASHA,CAT,2 YEARS,MED,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527642&location=MONT,
A528561,OWNER SUR,02/25/2025,WYLLA,DOG,14 WEEKS,PUPPY,TAN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528561&location=MONT,
A525829,STRAY,11/19/2024,*RADAR,DOG,2 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,"7200 PHELPS HILL CT, DERWOOD MD 20855"
A528032,STRAY,02/05/2025,*YUKI,DOG,2 YEARS,LARGE,WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528032&location=MONT,"4600 FALCON ST, ROCKVILLE MD 20853"
A526236,STRAY,12/04/2024,*PAWLE,DOG,1 YEAR 1 MONTH,MED,TRICOLOR,SHIBA INU / FEIST,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526236&location=MONT,"0 STEWART LN, SILVER SPRING MD 20904"
A527692,STRAY,01/25/2025,*CHOTSO,DOG,4 YEARS,LARGE,TAN / BLACK,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527692&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A528240,STRAY,02/14/2025,SMOKEY,DOG,8 YEARS,LARGE,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528240&location=MONT,"8300 SLIGO CREEK PKWY, TAKOMA PARK MD 20912"
A528307,STRAY,02/17/2025,*SUBURBAN,DOG,1 YEAR 1 MONTH,LARGE,BLACK / WHITE,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528307&location=MONT,"0 LOCKWOOD DR, SILVER SPRING MD 20901"
A527550,STRAY,01/20/2025,*MATILDA,DOG,3 YEARS,LARGE,BLUE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527550&location=MONT,"2000 QUEENSGUARD RD, SILVER SPRING MD 20906"
A528501,STRAY,02/23/2025,*MAMA,CAT,1 YEAR 1 MONTH,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528501&location=MONT,"25500 JOY LN, DAMASCUS MD 20872"
A527917,STRAY,02/01/2025,*KISS,DOG,5 YEARS,LARGE,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527917&location=MONT,"2200 FAIRLAND RD, SILVER SPRING MD 20904"
A526414,STRAY,12/09/2024,*MIDNIGHT,DOG,1 YEAR 3 MONTHS,LARGE,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526414&location=MONT,"12400 GREAT PARK CIR, GERMANTOWN MD 20876"
A526957,STRAY,12/30/2024,*BIG CHEESE,OTHER,NO AGE,SMALL,BLACK / WHITE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526957&location=MONT,"22700 CLARKSBURG RD, CLARKSBURG MD 20871"
A527693,STRAY,01/25/2025,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904"
A528270,STRAY,02/15/2025,*BE MINE,DOG,1 YEAR 1 MONTH,MED,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528270&location=MONT,"MAPLE AVE & RITCHIE AVE, TAKOMA PARK MD 20912"
A524170,OWNER SUR,10/01/2024,CUPCAKE,OTHER,5 YEARS,LARGE,BLACK,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524170&location=MONT,
A517695,OWNER SUR,10/26/2024,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,
A525282,OWNER SUR,11/01/2024,PETALS,DOG,5 YEARS,MED,TAN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525282&location=MONT,
A524293,OWNER SUR,10/05/2024,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,
